Unnamed: 0,site_id,phenophase_a,phenophase_b,number_of_observations,kendall_tau,p_value,genus_x,species_x,species_a_common,species_a_name,genus_y,species_y,species_b_common,species_b_name,site_name
0,8180,483,498,13,-0.5263613559678151,0.0139499858555877,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,GRSM-Purchase-dogwood1
14,8182,371,467,14,0.4114352887942449,0.0464349408310933,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
21,8182,467,483,14,0.9887002022289872,1.5058001962883068e-06,Acer,rubrum,red maple,Acer rubrum,Acer,rubrum,red maple,Acer rubrum,GRSM-PKnob Upper Plot
28,8182,467,371,14,0.5142941109928062,0.0127092012460418,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
34,8182,467,500,14,0.4432104354819598,0.0310512683870737,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
36,8182,467,371,14,0.4832681048178826,0.0177560329856441,Acer,rubrum,red maple,Acer rubrum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
41,8182,471,498,13,0.4313817631332017,0.0429155369136774,Acer,rubrum,red maple,Acer rubrum,Tilia,americana,American basswood,Tilia americana,GRSM-PKnob Upper Plot
55,8182,483,371,14,0.4971830761761255,0.015233283457063,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
61,8182,483,500,14,0.4606741573033708,0.0239477828718304,Acer,rubrum,red maple,Acer rubrum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
63,8182,483,371,14,0.4778072729642601,0.0182199720817427,Acer,rubrum,red maple,Acer rubrum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
82,8182,371,467,14,0.5340909090909091,0.0094297188154339,Prunus,serotina,black cherry,Prunus serotina,Prunus,serotina,black cherry,Prunus serotina,GRSM-PKnob Upper Plot
83,8182,371,483,14,0.6101792298525177,0.0028982663514623,Prunus,serotina,black cherry,Prunus serotina,Prunus,serotina,black cherry,Prunus serotina,GRSM-PKnob Upper Plot
85,8182,371,483,14,0.4571503208824944,0.0269192474938744,Prunus,serotina,black cherry,Prunus serotina,Tilia,americana,American basswood,Tilia americana,GRSM-PKnob Upper Plot
97,8182,467,483,14,0.8813699986758589,1.6924205289078887e-05,Prunus,serotina,black cherry,Prunus serotina,Prunus,serotina,black cherry,Prunus serotina,GRSM-PKnob Upper Plot
111,8182,471,498,13,0.4575261124140017,0.0317749803468738,Prunus,serotina,black cherry,Prunus serotina,Prunus,serotina,black cherry,Prunus serotina,GRSM-PKnob Upper Plot
125,8182,483,371,14,0.4157303370786517,0.0415822876912835,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
137,8182,498,498,13,0.4736842105263156,0.0269224584570869,Prunus,serotina,black cherry,Prunus serotina,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
142,8182,371,371,14,0.5028653529707438,0.0149348328243508,Tilia,americana,American basswood,Tilia americana,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
145,8182,371,371,14,0.477303545903649,0.020344656964648,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
147,8182,371,483,14,0.5142941109928062,0.0128004766603399,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
150,8182,371,371,14,0.415835346006085,0.0415686954327401,Tilia,americana,American basswood,Tilia americana,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
156,8182,483,371,14,0.465939175763086,0.0235314820387909,Tilia,americana,American basswood,Tilia americana,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
173,8182,371,371,14,0.5536811530143216,0.0068808604756035,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
174,8182,371,467,14,0.409090909090909,0.0467588264278091,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
175,8182,371,483,14,0.5454545454545454,0.0080181568902596,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
178,8182,371,371,14,0.4916891718944416,0.0155342815979434,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
181,8182,467,483,14,0.883720930232558,2.3233511616443258e-05,Quercus,rubra,northern red oak,Quercus rubra,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
188,8182,467,467,14,0.4161919241438186,0.0453519881067274,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
190,8182,471,498,13,0.5548502571494472,0.0085818334135456,Quercus,rubra,northern red oak,Quercus rubra,Quercus,rubra,northern red oak,Quercus rubra,GRSM-PKnob Upper Plot
191,8182,471,471,13,0.588348405414552,0.005764983650937,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
194,8182,471,471,13,0.4516223023309454,0.0324116955062126,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
202,8182,483,467,14,0.439313697707364,0.0346382273288953,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
203,8182,483,483,14,0.4205631760067919,0.0407629831211741,Quercus,rubra,northern red oak,Quercus rubra,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
204,8182,498,471,13,0.4210890847742521,0.0492017802853333,Quercus,rubra,northern red oak,Quercus rubra,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
209,8182,371,467,14,0.6101792298525177,0.0028982663514623,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
210,8182,371,483,14,0.519782306911404,0.0111777149862046,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
216,8182,467,483,14,0.6931818181818181,0.0007534135308855,Aesculus,flava,yellow buckeye,Aesculus flava,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-PKnob Upper Plot
224,8182,471,471,13,0.802701067850918,0.0001773382188788,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
233,8182,498,498,13,0.4473684210526314,0.0366433384598118,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
238,8182,501,371,14,0.4246406484542904,0.0366428344855158,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
245,8182,467,483,14,0.7571709123765715,0.0002162730823756,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
247,8182,500,501,13,0.8026315789473683,0.0001774024267571,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-PKnob Upper Plot
248,8409,483,498,13,-0.4675719001195179,0.0274863361115103,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,Cornus,florida-appalachianspring,Appalachian Spring dogwood,Cornus florida-appalachianspring,GRSM-Twin Creeks Dogwood 2
249,8806,467,467,14,0.4745838454408471,0.0205322649786096,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
252,8806,467,467,14,0.4772727272727272,0.0203467612302907,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
255,8806,467,467,14,0.4406849993379294,0.031475101641879,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
271,8806,483,483,15,0.4174954050920819,0.0324865313243188,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Tremont-Nature Trail 
274,8806,483,483,15,0.4878106818986775,0.0127933122991969,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
288,8806,467,467,14,0.6892765374259923,0.0007670850531177,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
290,8806,467,371,14,0.50561797752809,0.0132026637451969,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
292,8806,467,371,14,0.4067861532350118,0.0470831681868926,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
293,8806,467,467,14,0.4357609900500941,0.0319814186461884,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
301,8806,471,471,13,0.5695489135379688,0.0081028659340265,Cornus,florida,flowering dogwood,Cornus florida,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
312,8806,498,498,14,0.6628679652796168,0.001319643061989,Cornus,florida,flowering dogwood,Cornus florida,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
317,8806,498,498,14,0.8323838482876372,6.26104290686615e-05,Cornus,florida,flowering dogwood,Cornus florida,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
318,8806,498,467,14,-0.4068381021724862,0.0468521510588554,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
319,8806,498,498,14,0.5600091430810556,0.0066059928297404,Cornus,florida,flowering dogwood,Cornus florida,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
321,8806,467,498,14,-0.4971830761761255,0.015233283457063,Acer,saccharum,sugar maple,Acer saccharum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Tremont-Nature Trail 
326,8806,467,498,14,-0.4114890395670648,0.0462045765852813,Acer,saccharum,sugar maple,Acer saccharum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
327,8806,467,467,14,0.6480548057155245,0.0014253454469424,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
333,8806,471,467,13,0.421089084774252,0.0492017802853333,Acer,saccharum,sugar maple,Acer saccharum,Quercus,alba,white oak,Quercus alba,GRSM-Tremont-Nature Trail 
339,8806,483,483,15,0.5784313725490197,0.0032446170979626,Acer,saccharum,sugar maple,Acer saccharum,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
348,8806,467,371,14,0.5762803837496,0.0049102360947263,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
351,8806,467,467,14,0.4719399037242694,0.0207184154312571,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
356,8806,471,471,13,0.5263157894736842,0.0139522990373366,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Tremont-Nature Trail 
367,8806,498,498,14,0.827640881769065,6.528965590078832e-05,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
369,8806,498,498,14,0.5,0.0149810150532012,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
381,8806,467,467,14,0.5698412946808924,0.0050389548883497,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
388,8806,483,483,15,0.6601941747572816,0.000720722551589,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Tremont-Nature Trail 
391,8806,467,471,13,0.4675324675324674,0.0274900586481659,Quercus,alba,white oak,Quercus alba,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
401,8806,498,467,14,-0.4205631760067919,0.0407629831211741,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
402,8806,498,498,14,0.6667107103139691,0.001283074400331,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,Ulmus,alata,winged elm,Ulmus alata,GRSM-Tremont-Nature Trail 
404,8836,483,483,13,0.4475234075187578,0.0363888662007085,Acer,rubrum,red maple,Acer rubrum,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,GRSM-Sugarlands Nature Trail
405,8836,483,483,13,0.4832323597540974,0.0257125123476664,Acer,rubrum,red maple,Acer rubrum,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
406,8836,483,483,13,0.4267045976501319,0.0480891520533275,Acer,rubrum,red maple,Acer rubrum,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
415,8836,467,467,11,0.697277051246695,0.0030042622393982,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
419,8836,483,483,13,0.6667948594698255,0.0017308539731672,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
420,8836,483,483,13,0.4675719001195179,0.0274863361115103,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
421,8836,498,498,12,0.5151515151515151,0.0209803516313932,Liquidambar,styraciflua,sweetgum,Liquidambar styraciflua,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,GRSM-Sugarlands Nature Trail
425,8836,483,483,13,0.4370956778314643,0.041894193197355,Liriodendron,tulipifera,tuliptree,Liriodendron tulipifera,Carpinus,caroliniana,American hornbeam,Carpinus caroliniana,GRSM-Sugarlands Nature Trail
427,8899,483,483,13,0.4935064935064934,0.0199674304931967,Acer,saccharum,sugar maple,Acer saccharum,Fagus,grandifolia,American beech,Fagus grandifolia,GRSM-Newfound Gap
428,8899,483,483,13,0.7058974305816028,0.0009234420576988,Acer,saccharum,sugar maple,Acer saccharum,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
429,8899,483,483,13,0.802701067850918,0.0001740230340733,Acer,saccharum,sugar maple,Acer saccharum,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
430,8899,483,483,13,0.6143922080988024,0.0039337873085607,Fagus,grandifolia,American beech,Fagus grandifolia,Aesculus,flava,yellow buckeye,Aesculus flava,GRSM-Newfound Gap
431,8899,483,483,13,0.631633627161378,0.0031370371316716,Fagus,grandifolia,American beech,Fagus grandifolia,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
433,8899,483,483,13,0.8212100613803269,0.0001320921844935,Aesculus,flava,yellow buckeye,Aesculus flava,Amelanchier,laevis,Allegheny serviceberry,Amelanchier laevis,GRSM-Newfound Gap
434,8901,467,467,12,0.6929348671835832,0.0022316179323638,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
435,8901,483,498,13,0.5000432881694243,0.0195109897442854,Sorbus,americana,American mountain ash,Sorbus americana,Sorbus,americana,American mountain ash,Sorbus americana,GRSM-Clingmans Dome Rd.
437,8901,483,483,13,0.5621035095372022,0.0083390347056485,Sorbus,americana,American mountain ash,Sorbus americana,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,GRSM-Clingmans Dome Rd.
440,8901,483,483,13,0.4474071525726428,0.0366387901587302,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
442,8901,483,483,13,0.7189696052220028,0.0007402559106148,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
449,8901,498,498,13,0.516567619255367,0.016330215477267,Sorbus,americana,American mountain ash,Sorbus americana,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
450,8901,498,483,13,0.5960395606792696,0.0055900820170959,Sorbus,americana,American mountain ash,Sorbus americana,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
454,8901,471,471,13,0.7248485396311461,0.0008331759151342,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
463,8901,483,483,13,0.5526315789473683,0.0098396614128719,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
466,8901,498,483,13,-0.4503410014021148,0.0362980985292846,Betula,alleghaniensis,yellow birch,Betula alleghaniensis,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,GRSM-Clingmans Dome Rd.
475,8901,483,483,13,0.4635863249727652,0.0311502591754897,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
478,8901,498,498,13,0.6578947368421051,0.0021183935974864,Prunus,pensylvanica,pin cherry,Prunus pensylvanica,Acer,spicatum,mountain maple,Acer spicatum,GRSM-Clingmans Dome Rd.
484,8902,467,483,12,0.6259724369662708,0.0048307569036105,Acer,rubrum,red maple,Acer rubrum,Acer,rubrum,red maple,Acer rubrum,GRSM-Mingus Mill
485,8902,467,483,12,0.5846845821518305,0.0088421741541674,Acer,rubrum,red maple,Acer rubrum,Cornus,florida,flowering dogwood,Cornus florida,GRSM-Mingus Mill
487,8902,467,483,12,0.5539117094069973,0.0131271093915706,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
496,8902,483,483,12,0.7287040657115997,0.0011718251821904,Acer,rubrum,red maple,Acer rubrum,Carya,ovata,shagbark hickory,Carya ovata,GRSM-Mingus Mill
498,8902,483,467,12,0.5038314736557788,0.0233149963825438,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
499,8902,483,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
502,8902,483,483,12,0.4923076923076924,0.027479806211379,Acer,rubrum,red maple,Acer rubrum,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
522,8902,483,467,12,0.5231388366621641,0.0191546447804258,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
523,8902,483,483,12,0.5116432801804849,0.022675321110971,Carya,ovata,shagbark hickory,Carya ovata,Quercus,rubra,northern red oak,Quercus rubra,GRSM-Mingus Mill
525,8902,483,467,12,0.6356780147696934,0.0046357429770426,Carya,ovata,shagbark hickory,Carya ovata,Oxydendrum,arboreum,sourwood,Oxydendrum arboreum,GRSM-Mingus Mill
